Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA60,MA240
13895.98047,13915.71973,13862.57031,13881.92969,13881.92969,113570000,13818.95605,13881.92969,13881.92969,13881.92969
13881.92969,13969.99023,13880.00977,13954.41992,13954.41992,108230000,13867.39805,13954.41992,13954.41992,13954.41992
13954.41992,13966.12988,13896.9502,13910.41992,13910.41992,117200000,13893.61602,13603.05996,13910.41992,13910.41992
13910.41992,13941.05957,13860.58008,13860.58008,13860.58008,142600000,13900.66602,13625.46147,13860.58008,13860.58008
13860.58008,14019.78027,13860.58008,14009.79004,14009.79004,128420000,13923.42793,13656.38296,14009.79004,14009.79004
14009.79004,14009.79004,13866.83008,13880.08008,13880.08008,130420000,13923.05801,13678.62646,13880.08008,13880.08008
13880.08008,14013.59961,13880.08008,13979.2998,13979.2998,134390000,13928.03398,13708.37695,13979.2998,13979.2998
13979.2998,13991.61035,13913.17969,13986.51953,13986.51953,127560000,13943.25391,13741.26045,13986.51953,13986.51953
13986.51953,13988.05957,13852.2002,13944.0498,13944.0498,118530000,13959.94785,13768.93745,13944.0498,13944.0498
13944.0498,14022.62012,13944.0498,13992.96973,13992.96973,99860000,13956.58379,13795.02495,13992.96973,13992.96973
13992.96973,13992.96973,13940.41016,13971.24023,13971.24023,75090000,13974.81582,13819.16548,13971.24023,13971.24023
13971.24023,14038.96973,13968.94043,14018.7002,14018.7002,117180000,13982.6959,13844.73447,14018.7002,14018.7002
14018.7002,14029.34961,13945.78027,13982.91016,13982.91016,130520000,13981.97402,13867.1355,13982.91016,13982.91016
13982.91016,13990.36035,13921.94043,13973.38965,13973.38965,114800000,13987.84199,13890.24346,13973.38965,13973.38965
13973.38965,14001.92969,13906.73047,13981.75977,13981.75977,195670000,13985.6,13909.53047,13981.75977,13981.75977
13981.75977,14044.82031,13977.90039,14035.66992,14035.66992,136410000,13998.48594,13928.82896,14035.66992,14035.66992
14035.66992,14058.26953,13919.28027,13927.54004,13927.54004,138540000,13980.25391,13939.59546,13927.54004,13927.54004
13927.54004,13927.54004,13834.40039,13880.62012,13880.62012,131410000,13959.7959,13944.65996,13880.62012,13880.62012
13880.62012,14001.19043,13880.62012,14000.57031,14000.57031,139850000,13965.23203,13953.42197,14000.57031,14000.57031
14000.57031,14081.58008,13784.00977,13784.16992,13784.16992,152190000,13925.71406,13947.83145,13784.16992,13784.16992
13784.16992,13918.44043,13784.16992,13900.12988,13900.12988,132580000,13898.60605,13948.74146,13900.12988,13900.12988
13900.12988,14104.86035,13880.19043,14075.37012,14075.37012,107010000,13928.17207,13954.78896,14075.37012,14075.37012
14075.37012,14149.15039,14050.17969,14054.49023,14054.49023,177150000,13962.94609,13961.99248,14054.49023,14054.49023
14054.49023,14107.08984,13937.59961,14089.66016,14089.66016,125920000,13980.76406,13973.44648,14089.66016,14089.66016
14089.66016,14128.20996,14030.37012,14127.82031,14127.82031,110810000,14049.49414,13979.348,14127.82031,14127.82031
14127.82031,14286.37012,14127.82031,14253.76953,14253.76953,112100000,14120.22207,13998.03247,14253.76953,14253.76953
14253.76953,14320.65039,14253,14296.24023,14296.24023,116510000,14164.39609,14013.87949,14296.24023,14296.24023
14296.24023,14354.69043,14296.24023,14329.49023,14329.49023,117080000,14219.39609,14031.02803,14329.49023,14329.49023
14329.49023,14413.16992,14329.49023,14397.07031,14397.07031,115630000,14280.87813,14053.67905,14397.07031,14397.07031
14397.07031,14448.05957,14373.32031,14447.29004,14447.29004,94880000,14344.77207,14076.39507,14447.29004,14447.29004
14447.29004,14478.7998,14412.05957,14450.05957,14450.05957,102100000,14384.03008,14100.33604,14450.05957,14450.05957
14450.05957,14472.7998,14411.66016,14455.28027,14455.28027,83920000,14415.83809,14122.16504,14455.28027,14455.28027
14455.28027,14539.29004,14455.28027,14539.13965,14539.13965,117390000,14457.76797,14149.97651,14539.13965,14539.13965
14539.13965,14539.13965,14470.5,14514.11035,14514.11035,407770000,14481.17598,14177.01255,14514.11035,14514.11035
14514.11035,14521.58984,14404.20996,14452.05957,14452.05957,119640000,14482.12988,14200.52754,14452.05957,14452.05957
14452.05957,14514.33984,14382.08984,14455.82031,14455.82031,122170000,14483.28203,14221.53506,14455.82031,14455.82031
14455.82031,14546.82031,14455.82031,14511.73047,14511.73047,121240000,14494.57207,14250.74458,14511.73047,14511.73047
14511.73047,14511.73047,14383.01953,14421.49023,14421.49023,110450000,14471.04219,14277.78809,14421.49023,14421.49023
14421.49023,14519.9502,14421.49023,14512.03027,14512.03027,101450000,14470.62617,14303.36108,14512.03027,14512.03027
14512.03027,14563.75,14395,14447.75,14447.75,124840000,14469.76426,14336.54009,14447.75,14447.75
14447.75,14561.54004,14447.75,14559.65039,14559.65039,96030000,14490.53027,14369.51611,14559.65039,14559.65039
14559.65039,14559.65039,14439.5498,14526.16016,14526.16016,92680000,14493.41621,14392.05562,14526.16016,14526.16016
14526.16016,14585.09961,14520.86035,14578.54004,14578.54004,153710000,14524.82617,14418.25811,13994.43685,14578.54004
14578.54004,14605.71973,14531.48047,14572.84961,14572.84961,91400000,14536.99004,14442.41758,14013.77518,14572.84961
14572.84961,14684.49023,14572.84961,14662.00977,14662.00977,98420000,14579.84199,14469.12705,14034.95267,14662.00977
14662.00977,14683.12988,14525.36035,14550.34961,14550.34961,127140000,14577.98184,14483.95605,14053.53833,14550.34961
14550.34961,14625.24023,14538.71973,14606.11035,14606.11035,104790000,14593.97188,14499.44956,14073.902,14606.11035
14606.11035,14606.11035,14434.42969,14565.25,14565.25,131250000,14591.31387,14511.23755,14094.50868,14565.25
14565.25,14613.48047,14497.7998,14613.48047,14613.48047,106680000,14599.44004,14522.05806,14114.89152,14613.48047
14613.48047,14716.45996,14598.5,14673.45996,14673.45996,128580000,14601.73008,14533.36655,14134.92886,14673.45996
14673.45996,14826.66016,14673.45996,14802.24023,14802.24023,120520000,14652.1082,14550.97559,14156.8257,14802.24023
14802.24023,14887.50977,14785.36035,14865.13965,14865.13965,144570000,14703.91406,14571.46855,14179.45602,14865.13965
14865.13965,14865.20996,14790.57031,14865.05957,14865.05957,119570000,14763.87598,14587.76455,14201.62552,14865.05957
14865.05957,14865.05957,14598.58008,14599.2002,14599.2002,161680000,14761.01992,14592.01904,14219.75835,14599.2002
14599.2002,14761.73047,14599.2002,14756.78027,14756.78027,126320000,14777.68398,14607.25508,14239.10436,14756.78027
14756.78027,14756.78027,14560.80957,14618.58984,14618.58984,168010000,14740.95391,14615.39355,14255.25252,14618.58984
14618.58984,14650.25977,14495.29004,14537.13965,14537.13965,158050000,14675.35391,14616.66401,14269.00135,14537.13965
14537.13965,14553.73047,14444.03027,14547.50977,14547.50977,207200000,14611.84395,14622.96499,14281.80435,14547.50977
14547.50977,14588.83008,14457.59961,14567.16992,14567.16992,146890000,14605.43789,14625.72197,14294.16834,14567.16992
14567.16992,14721.41992,14554.29004,14719.45996,14719.45996,137320000,14597.97383,14639.30747,14307.893,14719.45996
